,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
326,NC,M,3,21.79,221.95,229.21,505.63,15.92,76.7,402.1,14.67,103.53,124.75,218.06,333.05,16.59,209.81,6.15,13.99,1.1,9.67,2.07,17.91,16.11,72.83,12.95,1.68,46.31,1.93,12.06,,,,4.73,4.69,3.45,2.25,6.47,11.46,4.51,2.44,4.56,11.93,2.39,4.79,19.62,33.57,6.0,1.2,167.93,10.73,70.61,60.74,387.98,49.35,17.15,338.97,52.55,226.17,96.32,10.02,22.54,,,65.0,,108.93,96.52,12.41,42.64,21.48
329,NC,F,3,21.98,213.26,246.89,516.02,13.71,65.55,417.47,12.77,98.55,94.31,221.38,226.5,22.49,144.39,5.15,8.92,0.0,10.53,1.73,11.45,5.02,39.77,10.6,0.94,18.62,0.62,,6.42,11.66,45.8,2.65,5.25,2.92,2.56,8.4,8.28,4.02,2.03,3.57,13.17,2.34,6.99,38.41,30.88,3.73,1.04,149.22,12.13,84.84,64.75,433.59,48.65,13.4,401.92,62.96,148.94,55.04,5.92,15.21,8.14,7.72,54.78,1.17,109.9,96.26,13.65,33.94,16.9
332,NC,T,3,21.89,217.6,238.05,510.82,14.82,71.13,409.79,13.72,101.04,109.53,219.72,279.78,19.54,177.1,5.65,11.46,0.55,10.1,1.9,14.68,10.56,56.3,11.78,1.31,32.47,1.27,,,,,3.69,4.97,3.19,2.41,7.44,9.87,4.26,2.23,4.06,12.55,2.37,5.89,29.02,32.23,4.87,1.12,158.58,11.43,77.73,62.75,410.79,49.0,15.28,370.45,57.76,187.56,75.68,7.97,18.88,,,59.89,,109.42,96.39,13.03,38.29,19.19
335,ND,M,3,29.65,328.17,342.05,712.81,23.12,138.86,466.84,21.44,245.97,167.49,251.49,616.14,18.12,343.11,6.19,11.45,126.78,18.58,3.44,16.87,34.62,43.35,42.62,5.04,91.57,5.91,36.48,,,,5.88,10.98,5.23,6.59,5.61,6.51,4.03,4.16,9.35,18.84,4.48,2.81,64.33,74.23,27.84,3.46,268.15,15.38,179.87,84.93,399.31,78.91,35.3,317.31,49.99,220.89,98.53,25.38,44.69,,,46.68,,148.26,109.16,39.09,43.19,16.17
338,ND,F,3,28.16,262.34,369.82,688.49,18.84,100.6,482.51,17.66,205.98,117.38,270.54,441.17,20.58,293.57,6.53,15.98,26.7,19.28,2.92,14.41,8.09,35.71,19.28,1.79,23.45,1.15,,15.26,22.2,119.09,6.24,7.91,3.35,2.41,8.26,5.49,4.03,6.87,6.27,13.42,4.26,4.64,75.26,88.66,25.36,1.77,207.5,11.64,218.49,97.63,379.89,88.47,37.11,313.01,39.15,122.49,40.16,14.58,33.32,23.79,21.13,41.66,1.77,140.78,108.36,32.42,32.84,12.8
341,ND,T,3,28.91,295.25,355.94,700.65,20.98,119.73,474.68,19.55,225.97,142.44,261.02,528.65,19.35,318.34,6.36,13.71,76.74,18.93,3.18,15.64,21.36,39.53,30.95,3.42,57.51,3.53,,,,,6.06,9.45,4.29,4.5,6.94,6.0,4.03,5.52,7.81,16.13,4.37,3.73,69.8,81.45,26.6,2.62,237.82,13.51,199.18,91.28,389.6,83.69,36.2,315.16,44.57,171.69,69.34,19.98,39.01,,,44.17,,144.52,108.76,35.76,38.02,14.49
344,OA,M,3,14.27,132.48,147.98,326.29,14.88,69.67,,,,,,,,,,,,9.22,2.37,5.98,94.37,74.97,10.14,1.32,24.74,,8.37,,,,,,3.34,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.99,,71.36,,,,
347,OA,F,3,13.2,99.61,150.88,303.23,9.94,65.08,,,,,,,,,,,,5.25,1.49,1.67,44.97,28.81,6.73,0.26,13.28,,,4.65,7.67,26.54,,,2.36,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.45,,65.99,,,,
350,OA,T,3,13.73,116.05,149.43,314.76,12.41,67.38,,,,,,,,,,,,7.24,1.93,3.83,69.67,51.89,8.44,0.79,19.01,,,,,,,,2.85,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72,,68.67,,,,
353,OB,M,3,8.65,140.44,170.05,260.93,19.3,80.29,,,,,,,,,,,,13.63,4.31,6.93,146.37,150.13,19.34,2.14,64.36,,19.99,,,,,,3.9,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22,,43.27,,,,
356,OB,F,3,10.06,125.93,146.58,263.4,11.14,66.96,,,,,,,,,,,,10.58,2.45,2.29,65.67,60.92,15.76,0.88,26.18,,,3.21,14.3,33.54,,,3.29,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,,50.28,,,,
359,OB,T,3,9.36,133.19,158.32,262.17,15.22,73.63,,,,,,,,,,,,12.11,3.38,4.61,106.02,105.53,17.55,1.51,45.27,,,,,,,,3.6,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.59,,46.78,,,,
362,PA,M,3,10.83,156.73,166.19,294.43,14.35,107.46,,,,,,,,,,,,15.45,1.61,45.74,25.06,19.46,5.81,5.17,34.56,,12.39,,,,,,1.49,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.14,,,,
365,PA,F,3,9.78,133.19,149.45,263.22,8.91,70.65,,,,,,,,,,,,5.61,0.93,20.24,7.98,9.48,2.96,0.4,14.84,,,1.08,5.07,23.12,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92,,,,
368,PA,T,3,10.3,144.96,157.82,278.83,11.63,89.06,,,,,,,,,,,,10.53,1.27,32.99,16.52,14.47,4.38,2.79,24.7,,,,,,,,1.09,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53,,,,
371,PC,M,3,9.44,138.32,231.21,306.56,13.92,81.34,,,,,,,,,,,,48.41,1.96,21.75,9.13,22.75,5.77,43.9,128.75,,3.89,,,,,,0.82,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,,,,
374,PC,F,3,8.9,123.44,155.5,251.22,7.98,57.33,,,,,,,,,,,,14.11,0.74,5.67,1.03,11.73,3.9,7.36,43.52,,,0.0,1.66,4.93,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48,,,,
377,PC,T,3,9.17,130.88,193.36,278.89,10.95,69.34,,,,,,,,,,,,31.26,1.35,13.71,5.08,17.24,4.83,25.63,86.14,,,,,,,,0.41,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.85,,,,
380,PD,M,3,6.61,98.5,219.76,248.13,11.81,70.16,,,,,,,,,,,,69.46,3.32,24.45,7.6,38.76,6.42,63.63,221.68,,24.41,,,,,,0.28,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.04,,,,
383,PD,F,3,6.21,88.04,119.71,182.21,6.36,46.8,,,,,,,,,,,,14.59,1.03,13.34,1.31,13.35,2.71,11.02,55.79,,,1.04,3.42,7.43,,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.03,,,,
386,PD,T,3,6.41,93.27,169.73,215.17,9.09,58.48,,,,,,,,,,,,42.02,2.17,18.89,4.46,26.05,4.57,37.33,138.74,,,,,,,,0.14,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.04,,,,
389,PE,M,3,8.26,140.71,142.33,239.52,11.57,53.54,,,,,,,,,,,,8.38,0.98,12.45,21.11,12.04,5.66,5.34,39.79,,3.0,,,,,,0.65,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.29,,,,
392,PE,F,3,9.48,119.27,137.31,247.96,8.6,42.5,,,,,,,,,,,,4.28,0.76,5.3,15.04,11.85,3.26,0.27,15.46,,,0.0,7.28,7.14,,,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,
395,PE,T,3,8.87,129.99,139.82,243.74,10.09,48.02,,,,,,,,,,,,6.33,0.87,8.88,18.07,11.95,4.46,2.81,27.63,,,,,,,,0.78,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.34,,,,
398,QA,M,3,27.51,282.03,249.22,615.98,13.16,65.57,507.65,11.42,108.32,173.86,302.95,178.94,11.92,87.03,1.45,2.06,0.0,10.5,1.21,18.28,8.05,34.1,13.07,2.0,21.88,1.7,5.86,,,,5.87,0.0,1.38,2.13,5.67,1.38,0.0,5.11,6.04,15.1,1.72,10.18,84.65,20.78,5.68,0.41,57.81,14.7,114.07,111.31,361.22,104.94,40.41,281.39,82.63,185.17,38.04,43.38,61.96,,,56.69,,137.54,130.88,6.66,42.96,33.11
401,QA,F,3,24.55,252.52,188.53,530.6,11.5,61.29,493.0,10.84,37.6,66.07,284.59,169.82,21.1,87.13,2.19,6.04,0.0,11.3,0.97,2.45,3.74,36.17,8.56,0.41,5.59,0.0,,3.96,5.06,12.05,8.1,1.54,0.8,0.0,5.07,0.0,0.0,3.35,4.22,16.96,2.0,10.78,120.46,19.02,3.69,1.57,54.21,15.39,145.9,122.72,403.46,111.0,43.92,334.25,78.21,123.41,19.93,24.11,39.04,16.81,16.89,43.67,1.65,122.75,118.25,4.51,28.73,22.53
404,QA,T,3,26.03,267.27,218.88,573.29,12.33,63.43,500.32,11.13,72.96,119.97,293.77,174.38,16.51,87.08,1.82,4.05,0.0,10.9,1.09,10.37,5.9,35.14,10.82,1.21,13.73,0.85,,,,,6.99,0.77,1.09,1.06,5.37,0.69,0.0,4.23,5.13,16.03,1.86,10.48,102.56,19.9,4.68,0.99,56.01,15.04,129.99,117.02,382.34,107.97,42.16,307.82,80.42,154.29,28.98,33.75,50.5,,,50.18,,130.15,124.56,5.58,35.84,27.82
407,QB,M,3,41.26,346.28,299.52,859.51,13.6,49.09,778.8,12.45,80.7,115.34,460.09,407.25,30.62,269.2,9.36,10.41,0.0,8.05,0.91,12.69,9.58,26.17,7.32,1.93,13.97,0.0,5.66,,,,0.63,1.87,1.93,0.63,3.09,5.17,4.45,4.25,3.92,9.91,0.88,5.91,25.46,14.46,8.67,0.48,37.31,9.43,50.45,187.78,395.11,170.83,52.01,313.59,120.89,148.02,41.53,23.59,33.77,,,89.54,,206.3,197.66,8.63,42.86,20.4
410,QB,F,3,36.29,346.75,280.75,777.98,14.65,50.25,737.06,14.09,40.92,55.43,443.83,368.24,42.23,239.6,5.1,8.4,0.0,5.2,1.1,2.17,7.88,32.52,5.58,0.47,11.03,0.0,,2.07,4.01,38.25,0.75,1.22,0.55,0.75,2.23,1.54,0.0,2.71,4.45,18.52,1.13,13.35,41.16,18.18,9.69,0.88,43.14,17.63,69.88,191.22,617.88,171.98,52.38,540.02,98.52,93.62,32.6,23.01,23.33,22.13,27.29,64.32,3.07,181.47,174.39,7.08,27.32,13.16
413,QB,T,3,38.77,346.51,290.13,818.75,14.13,49.67,757.93,13.27,60.81,85.39,451.96,387.75,36.42,254.4,7.23,9.41,0.0,6.63,1.01,7.43,8.73,29.35,6.45,1.2,12.5,0.0,,,,,0.69,1.55,1.24,0.69,2.66,3.35,2.23,3.48,4.19,14.21,1.0,9.63,33.31,16.32,9.18,0.68,40.23,13.53,60.16,189.5,506.5,171.41,52.2,426.81,109.7,120.82,37.07,23.3,28.55,,,76.93,,193.89,186.03,7.86,35.09,16.78
416,QC,M,3,32.18,411.56,176.24,678.01,9.52,41.09,624.9,8.82,53.11,70.73,409.92,230.33,13.78,97.14,4.49,3.93,0.0,3.7,0.34,2.9,1.92,5.07,3.95,0.66,7.74,2.6,2.29,,,,0.96,2.29,0.95,0.58,15.31,2.41,0.0,4.01,5.47,10.12,1.01,6.56,37.08,20.91,0.0,0.0,40.71,10.12,60.71,187.06,313.35,180.36,75.85,212.31,105.41,145.6,26.18,27.92,46.58,,,29.06,,160.9,156.43,4.47,16.96,10.97
419,QC,F,3,33.55,398.72,184.73,698.73,9.62,39.67,658.05,9.22,40.67,39.79,422.46,222.59,16.11,72.92,4.51,5.63,0.0,3.85,0.37,2.94,0.93,3.92,2.16,0.87,2.16,0.65,,0.65,10.19,5.06,0.0,2.73,0.87,0.0,15.09,3.18,1.16,5.34,7.5,15.73,1.29,13.11,62.24,16.28,5.92,0.48,39.31,15.24,89.64,199.67,308.76,195.62,82.67,195.96,101.66,124.39,16.41,21.87,44.18,17.97,28.78,27.1,3.44,167.74,162.79,4.94,17.55,10.96
422,QC,T,3,32.87,405.14,180.49,688.37,9.57,40.38,641.48,9.02,46.89,55.26,416.19,226.46,14.95,85.03,4.5,4.78,0.0,3.78,0.36,2.92,1.43,4.5,3.06,0.77,4.95,1.63,,,,,0.48,2.51,0.91,0.29,15.2,2.8,0.58,4.67,6.49,12.93,1.15,9.83,49.66,18.6,2.96,0.24,40.01,12.68,75.17,193.37,311.06,187.99,79.26,204.14,103.53,135.0,21.3,24.9,45.38,,,28.08,,164.32,159.61,4.71,17.26,10.97
425,RA,M,3,23.41,152.66,174.4,477.66,11.2,53.73,406.32,10.16,71.33,103.79,242.92,175.96,7.68,75.15,1.38,9.7,0.0,9.18,2.12,2.92,8.45,16.8,8.2,1.16,27.37,1.5,114.64,,,,8.3,3.28,1.91,3.65,5.72,5.59,1.25,2.7,2.34,12.61,1.01,4.83,36.89,7.9,6.61,0.8,36.5,11.81,64.72,132.71,284.46,126.96,18.59,215.69,42.11,145.54,39.31,27.26,34.8,,,89.99,,117.03,110.93,6.1,45.67,26.08
428,RA,F,3,21.63,139.04,161.0,440.71,12.17,51.98,403.39,11.66,37.32,51.67,231.11,165.93,11.2,71.0,2.59,11.98,0.0,6.08,1.86,2.07,3.7,14.41,6.33,0.64,13.9,0.94,,97.45,10.3,9.66,10.88,2.2,0.94,0.62,6.95,5.74,0.98,1.26,2.7,15.88,1.12,5.68,58.24,2.03,7.24,2.52,33.27,13.36,79.02,134.46,466.7,122.28,19.3,391.85,34.05,120.98,22.37,19.53,26.08,16.82,27.01,84.54,2.71,108.15,102.28,5.87,40.14,21.16
431,RA,T,3,22.52,145.85,167.7,459.19,11.69,52.85,404.86,10.91,54.33,77.73,237.02,170.95,9.44,73.08,1.98,10.84,0.0,7.63,1.99,2.5,6.08,15.61,7.26,0.9,20.64,1.22,,,,,9.59,2.74,1.43,2.13,6.33,5.67,1.11,1.98,2.52,14.25,1.07,5.25,47.57,4.96,6.93,1.66,34.89,12.59,71.87,133.59,375.58,124.62,18.95,303.77,38.08,133.26,30.84,23.4,30.44,,,87.27,,112.59,106.61,5.99,42.91,23.62
434,SA,M,3,22.08,128.08,177.91,453.68,12.26,52.7,304.84,11.46,148.84,79.97,178.42,182.52,11.14,97.47,1.98,12.98,0.0,6.47,1.74,12.08,22.76,57.24,12.37,1.58,34.59,0.0,21.07,,,,1.02,1.04,2.13,2.65,10.98,1.97,1.97,0.8,1.02,9.63,1.78,4.1,30.15,7.26,1.97,0.67,137.74,8.96,40.4,73.52,469.1,63.49,13.05,437.46,35.37,125.11,48.5,4.96,4.98,,,97.47,,110.4,72.62,37.78,21.49,9.41
437,SA,F,3,21.64,123.36,172.73,443.12,12.0,56.86,316.16,11.49,126.97,50.68,184.58,181.53,16.92,87.92,1.94,6.87,0.0,5.99,1.39,10.92,10.1,37.54,6.91,0.0,21.46,0.0,,9.56,9.78,11.58,1.72,3.5,4.03,3.43,17.56,6.18,6.18,0.43,0.0,11.8,1.3,6.89,32.93,6.5,0.0,0.0,88.92,11.8,41.43,70.64,563.83,58.88,10.93,539.29,36.06,102.27,23.44,7.02,6.87,3.59,3.7,70.39,1.25,108.21,74.0,34.21,20.65,9.65
440,SA,T,3,21.86,125.72,175.32,448.4,12.13,54.78,310.5,11.48,137.91,65.33,181.5,182.03,14.03,92.7,1.96,9.93,0.0,6.23,1.56,11.5,16.43,47.39,9.64,0.79,28.03,0.0,,,,,1.37,2.27,3.08,3.04,14.27,4.08,4.08,0.61,0.51,10.72,1.54,5.5,31.54,6.88,0.98,0.34,113.33,10.38,40.91,72.08,516.47,61.19,11.99,488.38,35.72,113.69,35.97,5.99,5.93,,,83.93,,109.31,73.31,36.0,21.07,9.53
443,SB,M,3,21.53,211.45,183.18,472.64,19.67,86.16,357.42,18.42,115.22,124.14,240.19,170.3,16.06,92.92,3.27,5.74,0.0,8.02,6.57,8.27,345.68,168.35,22.48,2.24,45.7,7.37,25.03,,,,4.31,7.81,2.55,1.02,2.91,5.53,3.32,3.04,3.65,20.26,2.14,9.79,16.01,18.23,6.69,1.64,145.85,18.62,67.82,84.83,513.38,82.23,36.46,458.87,28.94,219.18,106.43,24.0,41.57,,,77.32,,107.65,89.01,18.63,38.74,28.73
446,SB,F,3,18.61,194.39,190.88,430.52,15.87,63.58,349.45,15.19,81.06,68.1,216.58,150.4,16.32,74.33,3.25,10.22,0.0,8.4,4.84,7.47,205.83,86.05,11.79,1.09,17.5,0.7,,10.14,7.0,113.12,2.44,7.17,1.53,1.81,3.36,5.3,1.14,4.15,3.47,28.3,1.96,14.91,24.41,19.33,7.18,2.55,119.44,25.74,76.18,81.24,525.63,79.44,32.93,476.28,26.53,106.76,40.67,12.64,30.09,12.58,7.75,63.83,1.89,93.07,78.92,14.14,29.49,22.25
449,SB,T,3,20.07,202.92,187.03,451.58,17.77,74.87,353.44,16.8,98.14,96.12,228.39,160.35,16.19,83.63,3.26,7.98,0.0,8.21,5.71,7.87,275.75,127.2,17.14,1.67,31.6,4.04,,,,,3.38,7.49,2.04,1.42,3.14,5.42,2.23,3.6,3.56,24.28,2.05,12.35,20.21,18.78,6.94,2.09,132.65,22.18,72.0,83.03,519.5,80.84,34.7,467.57,27.74,162.97,73.55,18.32,35.83,,,70.58,,100.36,83.97,16.39,34.12,25.49
452,SC,M,3,23.24,190.74,238.04,522.51,22.91,86.98,390.23,21.89,132.27,101.65,249.94,319.12,29.91,181.29,6.62,21.22,0.0,6.71,4.1,7.49,172.52,106.45,21.95,0.9,49.13,5.75,14.29,,,,5.97,3.88,2.2,1.68,4.78,7.97,3.96,3.27,3.04,13.72,2.98,8.85,22.11,26.31,20.02,0.14,219.03,13.58,78.66,81.93,797.62,75.2,45.38,718.87,44.34,294.27,178.08,34.2,62.8,,,105.18,,116.2,90.84,25.35,33.72,21.02
455,SC,F,3,20.78,191.01,257.87,498.81,17.42,75.82,399.33,16.71,99.48,71.66,260.3,228.36,38.47,121.62,8.42,12.16,0.0,7.72,2.61,3.73,113.3,54.48,14.46,0.72,16.55,0.8,,7.05,8.77,18.52,2.65,2.77,2.5,0.82,4.57,3.4,1.89,4.04,2.46,20.14,2.37,14.96,33.58,20.67,11.77,0.0,163.14,20.14,73.43,87.68,788.02,78.26,41.26,726.01,33.81,106.65,44.84,18.82,37.58,8.13,7.68,84.76,2.66,103.91,84.28,19.63,25.5,16.94
458,SC,T,3,22.01,190.88,247.96,510.66,20.17,81.4,394.78,19.3,115.88,86.66,255.12,273.74,34.19,151.46,7.52,16.69,0.0,7.21,3.35,5.61,142.91,80.47,18.21,0.81,32.84,3.27,,,,,4.31,3.33,2.35,1.25,4.68,5.68,2.92,3.66,2.75,16.93,2.68,11.91,27.84,23.49,15.89,0.07,191.09,16.86,76.05,84.81,792.82,76.73,43.32,722.44,39.08,200.46,111.46,26.51,50.19,,,94.97,,110.06,87.56,22.49,29.61,18.98
461,TA,M,3,33.07,216.0,291.67,700.78,17.81,88.97,568.47,15.8,132.31,201.11,339.83,238.12,12.24,77.78,4.43,17.39,0.0,10.68,4.46,4.94,196.04,138.15,27.17,0.67,33.81,3.39,16.02,,,,7.12,0.83,1.36,0.0,10.83,4.98,0.72,2.4,4.56,12.44,1.8,4.43,18.1,21.24,19.54,2.54,113.35,9.9,66.56,133.71,466.91,123.34,90.36,334.71,87.22,236.75,90.77,52.75,42.69,,,106.83,,165.34,151.0,14.34,56.24,38.51
464,TA,F,3,31.49,259.45,305.35,698.48,16.56,60.72,617.62,15.68,80.86,87.53,373.82,273.54,31.54,104.26,11.51,19.33,0.0,8.79,3.25,8.82,77.09,52.02,30.41,0.23,20.55,0.0,,10.97,10.37,88.68,4.24,2.78,1.49,3.04,11.33,6.38,4.85,3.6,0.89,19.91,2.24,11.25,38.46,60.37,19.5,2.61,97.47,17.3,126.59,153.4,567.03,144.55,98.97,429.48,81.57,157.14,57.8,19.28,48.51,19.95,21.55,89.8,3.88,157.45,145.01,12.45,44.33,28.85
467,TA,T,3,32.28,237.72,298.51,699.63,17.18,74.84,593.05,15.74,106.59,144.32,356.82,255.83,21.89,91.02,7.97,18.36,0.0,9.73,3.85,6.88,136.56,95.09,28.79,0.45,27.18,1.7,,,,,5.68,1.8,1.43,1.52,11.08,5.68,2.78,3.0,2.72,16.18,2.02,7.84,28.28,40.8,19.52,2.58,105.41,13.6,96.58,143.56,516.97,133.95,94.67,382.1,84.39,196.94,74.28,36.02,45.6,,,98.31,,161.4,148.0,13.39,50.29,33.68
470,TC,M,3,20.79,155.98,208.77,460.91,19.65,115.88,375.68,17.83,85.23,181.92,222.36,264.36,10.27,58.4,4.17,9.66,0.0,8.07,3.98,0.0,119.02,202.37,8.49,0.55,25.96,2.29,11.72,,,,1.18,5.89,0.9,0.0,5.9,9.14,5.2,2.3,5.27,19.28,2.07,13.41,52.41,31.24,10.83,0.94,104.88,18.33,102.11,102.03,452.23,94.82,77.21,328.45,28.01,395.69,155.05,81.26,57.45,,,91.95,,103.97,97.29,6.68,37.36,20.83
473,TC,F,3,20.45,121.13,202.35,442.37,17.39,99.95,405.26,16.98,37.11,40.65,230.71,269.61,23.74,90.93,5.64,31.85,0.0,7.45,3.22,1.31,42.1,123.26,17.11,0.0,22.66,13.64,,2.59,5.24,56.39,0.0,4.97,0.0,0.0,6.96,2.28,2.28,2.8,1.38,18.39,2.07,11.03,73.31,37.8,23.91,0.91,69.16,17.48,137.99,107.2,592.03,96.59,58.25,486.18,23.26,196.07,90.29,19.61,54.88,19.42,23.13,88.36,5.69,102.25,96.08,6.17,34.57,16.23
476,TC,T,3,20.62,138.56,205.56,451.64,18.52,107.92,390.47,17.41,61.17,111.28,226.54,266.99,17.0,74.67,4.91,20.76,0.0,7.76,3.6,0.66,80.56,162.81,12.8,0.28,24.31,7.97,,,,,0.59,5.43,0.45,0.0,6.43,5.71,3.74,2.55,3.32,18.84,2.07,12.22,62.86,34.52,17.37,0.93,87.02,17.91,120.05,104.62,522.13,95.7,67.73,407.31,25.64,295.88,122.67,50.44,56.17,,,90.16,,103.11,96.69,6.42,35.97,18.53
479,TD,M,3,14.93,72.97,92.6,287.01,15.55,41.14,253.89,14.64,33.11,90.36,180.45,179.67,7.14,77.18,0.0,6.95,0.0,3.84,2.53,2.79,99.07,63.19,6.14,0.0,47.72,0.0,10.19,,,,0.0,0.0,1.19,2.88,3.68,18.88,9.02,2.2,16.57,17.27,4.98,4.71,24.91,83.38,92.54,1.89,288.0,15.38,210.07,98.6,251.96,98.6,34.3,190.62,27.12,164.46,43.09,19.43,34.57,,,13.35,,74.64,71.74,2.89,7.14,4.24
482,TD,F,3,16.48,109.02,176.69,367.58,13.79,48.76,349.72,13.3,17.86,48.64,231.88,152.06,20.72,78.68,0.73,18.22,0.0,9.63,1.88,2.8,29.69,19.93,4.62,0.82,32.45,0.0,,5.08,6.42,56.61,4.28,0.0,1.73,2.93,4.01,11.05,3.82,2.55,27.94,31.85,5.36,15.35,50.87,96.4,64.14,1.46,309.18,30.39,227.06,118.55,127.09,118.55,8.11,118.98,27.37,153.02,36.74,11.35,40.28,16.33,21.94,12.17,3.94,82.41,81.24,1.17,4.45,2.81
485,TD,T,3,15.71,91.0,134.65,327.3,14.67,44.95,301.81,13.97,25.48,69.5,206.16,165.87,13.93,77.93,0.36,12.58,0.0,6.74,2.21,2.79,64.38,41.56,5.38,0.41,40.09,0.0,,,,,2.14,0.0,1.46,2.91,3.85,14.96,6.42,2.38,22.26,24.56,5.17,10.03,37.89,89.89,78.34,1.68,298.59,22.89,218.56,108.58,189.53,108.58,21.2,154.8,27.25,158.74,39.92,15.39,37.43,,,12.76,,78.53,76.49,2.03,5.79,3.53
488,UA,M,3,,,,177.45,10.55,65.41,,,,,,,,,,,,5.67,2.17,77.61,19.38,27.15,8.19,1.4,38.73,,23.8,,,,,,1.98,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,
491,UA,F,3,,,,131.27,6.41,34.53,,,,,,,,,,,,8.47,1.09,28.71,7.1,13.91,9.58,0.52,14.16,,,10.49,4.9,11.45,,,2.95,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,,
494,UA,T,3,,,,154.36,8.48,49.97,,,,,,,,,,,,7.07,1.63,53.16,13.24,20.53,8.88,0.96,26.45,,,,,,,,2.47,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,
497,UB,M,3,,,,156.77,10.25,74.04,,,,,,,,,,,,7.91,2.32,60.55,9.21,38.08,10.1,0.8,61.5,,34.43,,,,,,3.31,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,,,,,
500,UB,F,3,,,,157.85,8.44,50.37,,,,,,,,,,,,7.56,1.4,21.21,1.27,14.39,6.15,0.72,14.76,,,21.06,16.96,28.13,,,2.95,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,
503,UB,T,3,,,,157.31,9.35,62.21,,,,,,,,,,,,7.74,1.86,40.88,5.24,26.23,8.13,0.76,38.13,,,,,,,,3.13,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,,,,,
506,UC,M,3,,,,179.7,11.39,58.63,,,,,,,,,,,,9.62,2.09,45.67,9.18,27.43,12.63,0.74,73.01,,16.33,,,,,,3.22,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,,,
509,UC,F,3,,,,153.53,7.41,46.03,,,,,,,,,,,,7.13,1.29,23.33,3.19,11.74,12.18,0.35,15.45,,,8.83,17.48,20.33,,,2.55,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,
512,UC,T,3,,,,166.62,9.4,52.33,,,,,,,,,,,,8.38,1.69,34.5,6.18,19.59,12.41,0.55,44.23,,,,,,,,2.89,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,,,,,,
515,UD,M,3,,,,129.48,7.06,34.13,,,,,,,,,,,,5.44,1.28,21.13,12.98,14.85,5.87,1.78,52.68,,7.58,,,,,,2.07,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,
518,UD,F,3,,,,128.48,5.47,27.39,,,,,,,,,,,,4.62,0.57,7.76,4.06,5.08,2.62,0.67,12.57,,,7.15,3.65,9.99,,,2.41,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,
521,UD,T,3,,,,128.98,6.26,30.76,,,,,,,,,,,,5.03,0.93,14.45,8.52,9.96,4.25,1.23,32.63,,,,,,,,2.24,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,
524,UE,M,3,,,,164.91,12.94,65.98,,,,,,,,,,,,9.95,3.21,45.79,24.69,26.38,16.34,1.37,145.47,,37.2,,,,,,3.54,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,
527,UE,F,3,,,,156.77,8.56,51.57,,,,,,,,,,,,8.29,1.53,22.79,7.1,17.9,5.37,0.15,32.86,,,14.86,14.88,24.66,,,3.53,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,
